finca,lote,localidad,regional,altitud_m,pendiente_pct,tipo_sombra,area_ha,plantas_campo,plantas_detectadas,precision,recall,f1_score,mae_conteo
Finca 1,Lote 1,Piedades Sur,Valle Occidental,1050,18,Media,1.25,3150,3080,0.91,0.88,0.89,70
Finca 1,Lote 2,Piedades Sur,Valle Occidental,1080,22,Alta,0.95,2400,2285,0.88,0.84,0.86,115
Finca 2,Lote 1,Sabanilla,Valle Central,1220,15,Baja,1.40,3500,3460,0.94,0.91,0.92,40
Finca 2,Lote 2,Sabanilla,Valle Central,1250,28,Media,1.10,2750,2660,0.90,0.86,0.88,90
Finca 3,Lote 1,Barva,Valle Central,1350,32,Alta,0.85,2150,1980,0.85,0.80,0.82,170
Finca 3,Lote 2,Barva,Valle Central,1380,25,Media,1.00,2550,2480,0.89,0.87,0.88,70
Finca 4,Lote 1,Santa María,Los Santos,1550,20,Baja,1.50,3900,3850,0.95,0.93,0.94,50
Finca 4,Lote 2,Santa María,Los Santos,1580,35,Alta,0.90,2250,2070,0.84,0.79,0.81,180
Finca 5,Lote 1,Piedades Sur,Valle Occidental,1120,12,Baja,1.30,3300,3260,0.93,0.90,0.91,40
Finca 5,Lote 2,Piedades Sur,Valle Occidental,1140,27,Media,1.05,2650,2575,0.90,0.86,0.88,75
Finca 6,Lote 1,Sabanilla,Valle Central,1280,19,Media,1.20,3000,2925,0.91,0.88,0.89,75
Finca 6,Lote 2,Sabanilla,Valle Central,1300,31,Alta,0.80,2000,1850,0.83,0.78,0.80,150
